team_id,player_type,pts_lost,name
218961,MID,-48.0,Danial
219160,DEF,-43.0,Faaiz
229056,GKP,-42.0,Faaez
249496,DEF,-39.0,Kumail
218851,DEF,-34.0,Feroze
229056,DEF,-32.0,Faaez
218961,DEF,-31.0,Danial
230738,DEF,-30.0,Noman
218851,MID,-27.0,Feroze
218851,FWD,-26.0,Feroze
218961,GKP,-22.0,Danial
230738,GKP,-22.0,Noman
230738,MID,-19.0,Noman
218961,FWD,-18.0,Danial
219160,FWD,-17.0,Faaiz
218851,GKP,-16.0,Feroze
230738,FWD,-15.0,Noman
249496,GKP,-11.0,Kumail
219160,MID,-10.0,Faaiz
229056,MID,-9.0,Faaez
219160,GKP,-9.0,Faaiz
249496,FWD,-8.0,Kumail
249496,MID,-6.0,Kumail
