team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Dandandania,f,15,16,Mac Allister,0,Gross,7,-7
Bald is Best,f,15,16,Gakpo,1,Wilson,4,-3
Masala Pan FC,w,15,16,Doku,0,Martinelli,2,-2
Walid Sb,w,15,16,Lascelles,-1,Ajer,0,-1
Lulla XI,w,15,16,Rodrigo,1,Elanga,2,-1
Lulla XI,w,15,16,Amdouni,2,Archer,2,0
Dandandania,f,15,16,Nketiah,1,Semenyo,1,0
Lulli XI,w,15,16,Kulusevski,2,Szoboszlai,2,0
Masala Pan FC,f,15,16,Ream,0,Aina,0,0
Dandandania,f,15,16,Konaté,1,Akanji,1,0
Bald is Best,f,15,16,Gomez,0,Matip,0,0
Lulli XI,f,15,16,Kelleher,0,Areola,0,0
Dandandania,f,15,16,Mee,2,Mitchell,0,2
Lulla XI,w,15,16,Dubravka,2,Pope,0,2
Dandandania,w,15,16,Souček,2,Eze,0,2
Dandandania,f,15,16,Johnson,3,Mac Allister,0,3
Masala Pan FC,w,15,16,Neto,7,Flekken,3,4
Dandandania,f,15,16,Iwobi,6,Souček,2,4
Lulla XI,w,15,16,Robinson,6,White,2,4
Dandandania,w,15,16,Tavernier,9,Garnacho,2,7
Walid Sb,f,15,16,Martinez,10,José Sá,2,8
Bald is Best,f,15,16,Richarlison,15,Almirón,2,13
