id,points,total_points,event_transfers,points_on_bench,entry,event
94975,43,43,0,0,219160,1
488185,71,114,0,0,219160,2
946930,42,156,0,0,219160,3
1471210,46,202,0,0,219160,4
1995490,41,243,0,0,219160,5
2519770,57,300,0,0,219160,6
3044050,75,375,0,0,219160,7
3568330,61,436,0,0,219160,8
4089926,49,485,0,0,219160,9
4679741,40,525,0,0,219160,10
5269556,41,566,0,0,219160,11
5859371,47,613,0,0,219160,12
6449186,31,644,0,0,219160,13
6982554,48,692,0,0,219160,14
7572369,45,737,0,0,219160,15
8162184,46,783,0,0,219160,16
8751999,40,823,0,0,219160,17
9341814,39,862,0,0,219160,18
9931629,43,905,0,0,219160,19
10521444,75,980,0,0,219160,20
11111259,58,1038,0,0,219160,21
11701074,47,1085,0,0,219160,22
12290889,56,1141,0,0,219160,23
12880704,33,1174,0,0,219160,24
13428530,67,1241,0,0,219160,25
14018345,76,1317,0,0,219160,26
14608160,71,1388,0,0,219160,27
15197975,31,1419,0,0,219160,28
15787790,42,1461,0,0,219160,29
16338896,63,1524,0,0,219160,30
16928711,50,1574,0,0,219160,31
17518526,39,1613,0,0,219160,32
18108341,19,1632,0,0,219160,33
18698156,73,1705,0,0,219160,34
